Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
1063,2020/12/22,113.00,5.61,113.00,107.00,107.00,"6,682","740,530.00"
1064,2020/12/21,107.00,-1.83,109.00,100.00,107.00,"10,865","1,135,395.00"
1065,2020/12/20,109.00,-6.84,115.00,106.00,115.00,"11,678","1,270,592.00"
1066,2020/12/17,117.00,-0.85,120.00,115.00,117.00,"10,610","1,252,320.00"
1067,2020/12/16,118.00,-1.67,120.00,117.00,118.00,"4,090","486,320.00"
1068,2020/12/15,120.00,-1.64,122.00,120.00,120.00,"3,380","409,330.00"
1069,2020/12/14,122.00,0,130.00,117.00,128.00,"8,412","1,005,923.00"
1070,2020/12/13,122.00,0,122.00,120.00,120.00,"3,215","387,595.00"
1071,2020/12/10,122.00,-1.61,130.00,120.00,130.00,"3,230","394,860.00"
1072,2020/12/09,124.00,-1.59,128.00,122.00,125.00,"5,427","669,664.00"
1073,2020/12/08,126.00,0.8,126.00,121.00,123.00,"7,395","920,310.00"
1074,2020/12/07,125.00,0.81,130.00,122.00,130.00,"5,670","700,225.00"
1075,2020/12/06,124.00,-3.12,127.00,122.00,122.00,"4,040","505,040.00"
1076,2020/12/03,128.00,0,132.00,126.00,128.00,"6,055","776,420.00"
1077,2020/12/02,128.00,-0.78,131.00,123.00,123.00,"6,077","781,843.00"
1078,2020/12/01,129.00,-3.01,133.00,129.00,131.00,"12,020","1,570,675.00"
1079,2020/11/30,133.00,2.31,134.00,128.00,128.00,"10,418","1,358,902.00"
1080,2020/11/29,130.00,0,130.00,126.00,130.00,"8,010","1,024,830.00"
1081,2020/11/26,130.00,-1.52,133.00,130.00,130.00,"7,264","954,314.00"
1082,2020/11/25,130.00,-0.76,139.00,130.00,132.00,"4,720","1,420,520.00"
1083,2020/11/24,131.00,-0.76,142.00,128.00,130.00,"2,600","344,100.00"
1084,2020/11/23,132.00,0,134.00,129.00,130.00,"12,675","1,671,047.00"
1085,2020/11/22,132.00,-3.65,141.00,130.00,135.00,"13,319","1,787,824.00"
1086,2020/11/19,137.00,5.38,138.00,128.00,131.00,"6,579","885,042.00"
1087,2020/11/18,130.00,-5.8,138.00,126.00,136.00,"16,396","2,135,238.00"
1088,2020/11/12,138.00,-0.72,141.00,133.00,133.00,"4,661","797,685.00"
